ID;userName;email;fullName;role_code;isActive;lastLoginAt;traveller_ID;createdBy;createdAt;modifiedAt
c5c5c5c5-0001-4555-8555-555555555501;admin.super;superadmin@anubhav.com;Super Administrator;ADMIN;true;2026-05-08T09:15:00Z;;system;2024-12-01T08:00:00Z;2026-05-08T09:15:00Z
c5c5c5c5-0002-4555-8555-555555555502;admin.sarah;sarah.thompson@anubhav.com;Sarah Thompson;ADMIN;true;2026-05-09T07:45:00Z;;system;2024-12-01T08:00:00Z;2026-05-09T07:45:00Z
c5c5c5c5-0003-4555-8555-555555555503;agent.michael;michael.brown@anubhav.com;Michael Brown;AGENT;true;2026-05-08T11:30:00Z;;admin@anubhav.com;2025-01-10T09:00:00Z;2026-05-08T11:30:00Z
c5c5c5c5-0004-4555-8555-555555555504;agent.chen;chen.yu@anubhav.com;Chen Yu;AGENT;true;2026-05-07T14:20:00Z;;admin@anubhav.com;2025-02-15T09:00:00Z;2026-05-07T14:20:00Z
c5c5c5c5-0005-4555-8555-555555555505;agent.anya;anya.sharma@anubhav.com;Anya Sharma;AGENT;false;2026-03-15T10:00:00Z;;admin@anubhav.com;2025-03-20T09:00:00Z;2026-03-15T10:00:00Z
c5c5c5c5-0006-4555-8555-555555555506;raj.sharma;raj.sharma@example.com;Raj Sharma;TRAVELLER;true;2026-05-09T08:00:00Z;c1c1c1c1-0001-4111-8111-111111111101;admin@anubhav.com;2025-01-15T08:30:00Z;2026-05-09T08:00:00Z
c5c5c5c5-0007-4555-8555-555555555507;priya.patel;priya.patel@example.com;Priya Patel;TRAVELLER;true;2026-05-08T16:45:00Z;c1c1c1c1-0002-4111-8111-111111111102;admin@anubhav.com;2025-02-01T09:30:00Z;2026-05-08T16:45:00Z
c5c5c5c5-0008-4555-8555-555555555508;john.williams;john.williams@example.com;John Williams;TRAVELLER;true;2026-05-07T19:30:00Z;c1c1c1c1-0003-4111-8111-111111111103;admin@anubhav.com;2025-01-20T10:30:00Z;2026-05-07T19:30:00Z
c5c5c5c5-0009-4555-8555-555555555509;emily.johnson;emily.johnson@example.com;Emily Johnson;TRAVELLER;true;2026-05-09T06:15:00Z;c1c1c1c1-0004-4111-8111-111111111104;admin@anubhav.com;2025-02-10T11:30:00Z;2026-05-09T06:15:00Z
c5c5c5c5-0010-4555-8555-555555555510;hans.mueller;hans.mueller@example.com;Hans Mueller;TRAVELLER;false;2026-02-20T13:00:00Z;c1c1c1c1-0005-4111-8111-111111111105;admin@anubhav.com;2024-11-05T07:30:00Z;2026-02-20T13:00:00Z
c5c5c5c5-0011-4555-8555-555555555511;sophie.dubois;sophie.dubois@example.com;Sophie Dubois;TRAVELLER;true;2026-05-08T20:00:00Z;c1c1c1c1-0006-4111-8111-111111111106;admin@anubhav.com;2025-03-01T12:30:00Z;2026-05-08T20:00:00Z
c5c5c5c5-0012-4555-8555-555555555512;kenji.tanaka;kenji.tanaka@example.com;Kenji Tanaka;TRAVELLER;true;2026-05-09T05:30:00Z;c1c1c1c1-0007-4111-8111-111111111107;admin@anubhav.com;2025-01-08T06:30:00Z;2026-05-09T05:30:00Z
