ID;loginName;firstName;lastName;isLocked;createdAt
c5c5c5c5-0001-4555-8555-555555555501;superadmin@anubhav.com;Super;Administrator;false;2024-12-01T08:00:00Z
c5c5c5c5-0002-4555-8555-555555555502;sarah.thompson@anubhav.com;Sarah;Thompson;false;2024-12-01T08:00:00Z
c5c5c5c5-0003-4555-8555-555555555503;michael.brown@anubhav.com;Michael;Brown;false;2025-01-10T09:00:00Z
c5c5c5c5-0004-4555-8555-555555555504;chen.yu@anubhav.com;Chen;Yu;false;2025-02-15T09:00:00Z
c5c5c5c5-0005-4555-8555-555555555505;anya.sharma@anubhav.com;Anya;Sharma;false;2025-03-20T09:00:00Z
c5c5c5c5-0006-4555-8555-555555555506;raj.sharma@example.com;Raj;Sharma;false;2025-01-15T08:30:00Z
c5c5c5c5-0007-4555-8555-555555555507;priya.patel@example.com;Priya;Patel;false;2025-02-01T09:30:00Z
c5c5c5c5-0008-4555-8555-555555555508;john.williams@example.com;John;Williams;false;2025-01-20T10:30:00Z
c5c5c5c5-0009-4555-8555-555555555509;emily.johnson@example.com;Emily;Johnson;false;2025-02-10T11:30:00Z
c5c5c5c5-0010-4555-8555-555555555510;hans.mueller@example.com;Hans;Mueller;false;2024-11-05T07:30:00Z
c5c5c5c5-0011-4555-8555-555555555511;sophie.dubois@example.com;Sophie;Dubois;false;2025-03-01T12:30:00Z
c5c5c5c5-0012-4555-8555-555555555512;kenji.tanaka@example.com;Kenji;Tanaka;false;2025-01-08T06:30:00Z
